Timestamp,Where are you from?,What's your favorite programming language?,How many siblings do you have?,What do you put in your coffee? (if applicable),How many cups of coffee do you normally drink in a day?,"If you could visit any city in the world tomorrow, where would you go?"
11/1/2013 10:12:35,"Denver, CO",Ruby,1,,1,Tokyo
11/12/2013 12:05:26,Boulder,Ruby,1,Milk,2,Prague
11/12/2013 12:05:32,"Albuquerque, NM",Ruby,1,Milk,2,"London, UK"
11/12/2013 12:54:45,"Golden, CO",Java,1,,2,Bangkok
11/12/2013 17:52:24,Denver,python,3,"Milk, Sugar",0,Koloa
11/13/2013 12:32:02,"San Mateo, CA",Ruby,1,,2,Prague
11/13/2013 13:32:04,New York,",NET",1,,0,Munich
11/15/2013 13:01:24,California,C++,1,"Milk, Sugar",1,Prague
11/16/2013 16:35:29,Louisiana,HTML/CSS,2,"Milk, Sugar",1,European Cities
11/18/2013 12:21:51,Philadelphia,?,5,Milk,1,London
11/22/2013 12:01:17,"Oxford, UK",Python,1,,0,Tokyo
11/22/2013 12:39:01,Minneapolis,Javascript,2,,1,Stockholm
11/22/2013 14:45:37,"Santa Cruz, Bolivia",JavaScript,2,"Milk, Sugar",1,"Angkor, Cambodia"
11/23/2013 20:19:46,Longmont,Whatever suits the need at the moment,3,Milk,3,Rome
11/25/2013 11:36:47,"Tucson, AZ",Ruby,1,Milk,1,Tokyo
11/25/2013 16:08:20,Arvada,q-basic,1,,3,Toronto
11/25/2013 16:59:51,California (how specific?),R,2,"Milk, Sugar",8,Berlin
11/26/2013 20:04:55,Alabama,C#,3,"Milk, Sugar",2,Tokyo
11/27/2013 8:27:27,Boulder,Logo,1,,4,London
11/27/2013 9:01:59,New Jersey,R,3,Milk,0,"Split, Croatia"
11/27/2013 19:57:41,Denver,c#,1,,0,Sidney
11/27/2013 22:00:44,Denver,perl,7,"Milk, Sugar",2,Hong Kong
11/29/2013 9:13:28,"Akron, Ohio",Ruby,5,Milk,1,Sydney
11/29/2013 13:43:05,Colorado,Python,1,Milk,1,Berlin
